"Step","decrease-fast - mask_ratio","decrease-fast - mask_ratio__MIN","decrease-fast - mask_ratio__MAX","40-flat - mask_ratio","40-flat - mask_ratio__MIN","40-flat - mask_ratio__MAX","15-flat - mask_ratio","15-flat - mask_ratio__MIN","15-flat - mask_ratio__MAX"
"0","0.42000000000000004","0.42000000000000004","0.42000000000000004","0.4","0.4","0.4","0.15","0.15","0.15"
"1","0.3990656175028225","0.3990656175028225","0.3990656175028225","0.4","0.4","0.4","0.15","0.15","0.15"
"2","0.37818861469293874","0.37818861469293874","0.37818861469293874","0.4","0.4","0.4","0.15","0.15","0.15"
"3","0.3574262139839077","0.3574262139839077","0.3574262139839077","0.4","0.4","0.4","0.15","0.15","0.15"
"4","0.33683532367289626","0.33683532367289626","0.33683532367289626","0.4","0.4","0.4","0.15","0.15","0.15"
"5","0.3164723819589918","0.3164723819589918","0.3164723819589918","0.4","0.4","0.4","0.15","0.15","0.15"
"6","0.2963932022500211","0.2963932022500211","0.2963932022500211","0.4","0.4","0.4","0.15","0.15","0.15"
"7","0.27665282018188003","0.27665282018188003","0.27665282018188003","0.4","0.4","0.4","0.15","0.15","0.15"
"8","0.25730534276968","0.25730534276968","0.25730534276968","0.4","0.4","0.4","0.15","0.15","0.15"
"9","0.2384038001041813","0.2384038001041813","0.2384038001041813","0.4","0.4","0.4","0.15","0.15","0.15"
"10","0.22000000000000008","0.22000000000000008","0.22000000000000008","0.4","0.4","0.4","0.15","0.15","0.15"
"11","0.2021443859939893","0.2021443859939893","0.2021443859939893","0.4","0.4","0.4","0.15","0.15","0.15"
"12","0.18488589908301079","0.18488589908301079","0.18488589908301079","0.4","0.4","0.4","0.15","0.15","0.15"
"13","0.16827184358006508","0.16827184358006508","0.16827184358006508","0.4","0.4","0.4","0.15","0.15","0.15"
"14","0.15234775745645684","0.15234775745645684","0.15234775745645684","0.4","0.4","0.4","0.15","0.15","0.15"
"15","0.137157287525381","0.137157287525381","0.137157287525381","0.4","0.4","0.4","0.15","0.15","0.15"
"16","0.1227420698090424","0.1227420698090424","0.1227420698090424","0.4","0.4","0.4","0.15","0.15","0.15"
"17","0.10914161541721173","0.10914161541721173","0.10914161541721173","0.4","0.4","0.4","0.15","0.15","0.15"
"18","0.09639320225002107","0.09639320225002107","0.09639320225002107","0.4","0.4","0.4","0.15","0.15","0.15"
"19","0.08453177282183043","0.08453177282183043","0.08453177282183043","0.4","0.4","0.4","0.15","0.15","0.15"
"20","0.0735898384862246","0.0735898384862246","0.0735898384862246","0.4","0.4","0.4","0.15","0.15","0.15"
"21","0.06359739032465289","0.06359739032465289","0.06359739032465289","0.4","0.4","0.4","0.15","0.15","0.15"
"22","0.0545818169429597","0.0545818169429597","0.0545818169429597","0.4","0.4","0.4","0.15","0.15","0.15"
"23","0.04656782940111935","0.04656782940111935","0.04656782940111935","0.4","0.4","0.4","0.15","0.15","0.15"
"24","0.03957739348193859","0.03957739348193859","0.03957739348193859","0.4","0.4","0.4","0.15","0.15","0.15"
"25","0.03362966948437272","0.03362966948437272","0.03362966948437272","0.4","0.4","0.4","0.15","0.15","0.15"
"26","0.02874095970647777","0.02874095970647777","0.02874095970647777","0.4","0.4","0.4","0.15","0.15","0.15"
"27","0.024924663761944937","0.024924663761944937","0.024924663761944937","0.4","0.4","0.4","0.15","0.15","0.15"
"28","0.022191241852690686","0.022191241852690686","0.022191241852690686","0.4","0.4","0.4","0.15","0.15","0.15"
"29","0.020548186098170468","0.020548186098170468","0.020548186098170468","0.4","0.4","0.4","0.15","0.15","0.15"