"Step","decrease-fast - loss_prd","decrease-fast - loss_prd__MIN","decrease-fast - loss_prd__MAX","40-flat - loss_prd","40-flat - loss_prd__MIN","40-flat - loss_prd__MAX","15-flat - loss_prd","15-flat - loss_prd__MIN","15-flat - loss_prd__MAX"
"0","0.2773613702740435","0.2773613702740435","0.2773613702740435","0.27733291982395847","0.27733291982395847","0.27733291982395847","0.2777433933562222","0.2777433933562222","0.2777433933562222"
"1","0.27280198995962396","0.27280198995962396","0.27280198995962396","0.27292883443852306","0.27292883443852306","0.27292883443852306","0.2737831774430762","0.2737831774430762","0.2737831774430762"
"2","0.26805221894187214","0.26805221894187214","0.26805221894187214","0.2680704454315528","0.2680704454315528","0.2680704454315528","0.26925422653043996","0.26925422653043996","0.26925422653043996"
"3","0.25322691867028485","0.25322691867028485","0.25322691867028485","0.2532576420209335","0.2532576420209335","0.2532576420209335","0.25497753909924104","0.25497753909924104","0.25497753909924104"
"4","0.24769687499808332","0.24769687499808332","0.24769687499808332","0.24801189820957548","0.24801189820957548","0.24801189820957548","0.24971483488218815","0.24971483488218815","0.24971483488218815"
"5","0.24743914153739696","0.24743914153739696","0.24743914153739696","0.2473225934004397","0.2473225934004397","0.2473225934004397","0.24975041035591192","0.24975041035591192","0.24975041035591192"
"6","0.24346601385765404","0.24346601385765404","0.24346601385765404","0.24339618274572355","0.24339618274572355","0.24339618274572355","0.24556816935197998","0.24556816935197998","0.24556816935197998"
"7","0.23882104915012214","0.23882104915012214","0.23882104915012214","0.23901390012154597","0.23901390012154597","0.23901390012154597","0.24116949790391987","0.24116949790391987","0.24116949790391987"
"8","0.2323159895624027","0.2323159895624027","0.2323159895624027","0.2325051733761855","0.2325051733761855","0.2325051733761855","0.2351164985128202","0.2351164985128202","0.2351164985128202"
"9","0.22991120126062847","0.22991120126062847","0.22991120126062847","0.22963999489763084","0.22963999489763084","0.22963999489763084","0.2320634669432317","0.2320634669432317","0.2320634669432317"
"10","0.2285378033355703","0.2285378033355703","0.2285378033355703","0.2278007074810195","0.2278007074810195","0.2278007074810195","0.2309079279490384","0.2309079279490384","0.2309079279490384"
"11","0.2253587972109725","0.2253587972109725","0.2253587972109725","0.22534335385048265","0.22534335385048265","0.22534335385048265","0.22823636122829927","0.22823636122829927","0.22823636122829927"
"12","0.2174951825539745","0.2174951825539745","0.2174951825539745","0.2163560959098164","0.2163560959098164","0.2163560959098164","0.22072811571006726","0.22072811571006726","0.22072811571006726"
"13","0.21703594556533312","0.21703594556533312","0.21703594556533312","0.21616185553627842","0.21616185553627842","0.21616185553627842","0.2190232527129466","0.2190232527129466","0.2190232527129466"
"14","0.22046541324887736","0.22046541324887736","0.22046541324887736","0.21929110181908912","0.21929110181908912","0.21929110181908912","0.22262468128465115","0.22262468128465115","0.22262468128465115"
"15","0.2098766185752052","0.2098766185752052","0.2098766185752052","0.20891887288050057","0.20891887288050057","0.20891887288050057","0.21206403080452205","0.21206403080452205","0.21206403080452205"
"16","0.20657599177638084","0.20657599177638084","0.20657599177638084","0.20584240086369557","0.20584240086369557","0.20584240086369557","0.20927807879811935","0.20927807879811935","0.20927807879811935"
"17","0.2049753768035417","0.2049753768035417","0.2049753768035417","0.20307516949215748","0.20307516949215748","0.20307516949215748","0.20901963445677899","0.20901963445677899","0.20901963445677899"
"18","0.2023683905405995","0.2023683905405995","0.2023683905405995","0.19970034501970327","0.19970034501970327","0.19970034501970327","0.20564200664863333","0.20564200664863333","0.20564200664863333"
"19","0.1970051780055128","0.1970051780055128","0.1970051780055128","0.1958039600291922","0.1958039600291922","0.1958039600291922","0.2001298653292434","0.2001298653292434","0.2001298653292434"
"20","0.18984536629148852","0.18984536629148852","0.18984536629148852","0.18703710226100365","0.18703710226100365","0.18703710226100365","0.1929204396327659","0.1929204396327659","0.1929204396327659"
"21","0.19364335469524768","0.19364335469524768","0.19364335469524768","0.19078958168455207","0.19078958168455207","0.19078958168455207","0.1951323601911342","0.1951323601911342","0.1951323601911342"
"22","0.1874825002344766","0.1874825002344766","0.1874825002344766","0.1857193703219323","0.1857193703219323","0.1857193703219323","0.18981932346666416","0.18981932346666416","0.18981932346666416"
"23","0.18803525220581424","0.18803525220581424","0.18803525220581424","0.184429694872122","0.184429694872122","0.184429694872122","0.18896207301593065","0.18896207301593065","0.18896207301593065"
"24","0.18449830545276005","0.18449830545276005","0.18449830545276005","0.18037245944426714","0.18037245944426714","0.18037245944426714","0.18610574856883924","0.18610574856883924","0.18610574856883924"
"25","0.18238330603086653","0.18238330603086653","0.18238330603086653","0.17901025187394773","0.17901025187394773","0.17901025187394773","0.18327706150483083","0.18327706150483083","0.18327706150483083"
"26","0.17883878992692717","0.17883878992692717","0.17883878992692717","0.17500692239272914","0.17500692239272914","0.17500692239272914","0.1804944776695307","0.1804944776695307","0.1804944776695307"
"27","0.17874256444149403","0.17874256444149403","0.17874256444149403","0.1741440604227588","0.1741440604227588","0.1741440604227588","0.17942882679964464","0.17942882679964464","0.17942882679964464"
"28","0.17779710623577863","0.17779710623577863","0.17779710623577863","0.17350382592657027","0.17350382592657027","0.17350382592657027","0.17874559379815486","0.17874559379815486","0.17874559379815486"
"29","0.17581916235188264","0.17581916235188264","0.17581916235188264","0.1703729337166625","0.1703729337166625","0.1703729337166625","0.17578443287878887","0.17578443287878887","0.17578443287878887"